student_efficacy,student_joy,student_broad_interest,student_epistemic_beliefs,student_instrumental_motivation,student_value_cooperation,student_enjoy_cooperation,student_environmental_awareness,parent_views_science,parent_enviro_concern,teacher_directed,teacher_inquiry_based,teacher_choice_support,teacher_perceived_feedback,teacher_adaptation_of_instruction,science_minutes_week,out_of_schools_study_hours,overall_science_ach,explain_scientifically,do_inquiry,interpret_data,teacher_extra_help,teacher_interest_learning,teacher_tells_performance,teacher_strengths,teacher_areas_improve,teacher_how_improve,students_investigation,teacher_explains_relevance,students_design,teacher_explains_application,students_draw_conclusions,students_argue,students_laboratory,students_explain_ideas,teacher_waits_quiet,teacher_noise_disorder,students_dont_listen,work_team,student_career,student_job,nervous,be_best,want_top_grades,ambitious,worry_grades,good_listener,ict_home,ict_interest,ict_competence,ict_autonomy,ict_out_sch,ict_out_leisure,disciplinary_climate
1.2208,-0.4071,0.1537,0.5975,0.8155,0.4713,-0.2882,1.064,NA,NA,-0.2836,-0.8064,-0.3068,-1.5255,-1.2428,315,30,587.103,558.652,607.532,612.432,2,2,1,1,1,1,4,3,4,3,3,4,3,2,4,4,4,3,1,2,3,4,4,4,2,3,NA,NA,NA,NA,NA,NA,1.8837
-1.2644,-1.1992,0.6193,-0.5033,0.0125,1.3777,1.3264,-0.2993,NA,NA,-0.8671,-1.4137,-1.1405,-1.5255,-0.787,225,11,454.764,399.709,436.865,390.431,4,2,1,1,1,1,4,3,4,4,3,4,4,3,4,3,4,4,2,3,3,4,4,4,4,4,NA,NA,NA,NA,NA,NA,0.9383
-0.7482,-1.0127,-0.9308,0.231,-0.3035,0.0333,-0.2882,-1.3681,NA,NA,-0.2928,0.0881,-0.0576,0.9915,-0.3816,225,17,439.816,478.18,456.1,502.987,1,2,4,2,4,2,4,3,4,2,2,2,3,2,3,3,4,3,2,2,3,3,3,2,3,3,NA,NA,NA,NA,NA,NA,0.5952
-0.0764,-0.3793,-0.7097,-0.1704,-0.7778,-0.6214,-0.8088,-1.0989,NA,NA,0.2564,-0.3549,-0.7147,-1.5255,-0.8348,225,26,662.833,603.529,601.73,634.209,3,2,1,1,1,1,4,3,4,2,2,3,3,3,4,3,3,2,3,3,3,4,4,3,2,3,NA,NA,NA,NA,NA,NA,0.8934
0.3155,-0.9603,-0.2865,-0.1933,0.3708,-0.3,0.0407,-0.5727,NA,NA,2.0781,1.0197,1.4475,1.0606,0.6524,250,NA,433.418,461.963,513.856,516.12,1,1,3,3,3,3,2,2,2,2,2,2,2,1,3,3,3,2,2,2,1,3,3,3,3,2,NA,NA,NA,NA,NA,NA,0.2829
0.3155,-0.395,-0.4908,-0.1933,0.3708,-0.3735,-0.8088,-2.4776,NA,NA,-0.878,-1.7502,-1.2399,-0.2674,-0.8348,200,12,467.415,440.477,462.934,483.619,3,3,2,2,2,2,4,4,4,4,3,4,4,3,3,2,3,3,2,2,3,4,3,3,3,3,NA,NA,NA,NA,NA,NA,-0.3959
-0.8773,-0.395,-1.0845,-0.1933,0.0125,-0.8356,-0.9705,-0.6732,NA,NA,0.3294,0.2087,-0.4684,-0.9174,-0.3622,225,20,569.335,570.443,604.928,603.095,3,2,1,1,1,2,3,2,4,2,2,3,3,2,4,3,3,3,2,3,3,3,3,3,1,3,NA,NA,NA,NA,NA,NA,0.4046
-0.1021,0.5094,0.0598,-2.7904,1.669,0.0333,1.5604,0.7589,NA,NA,1.4501,0.8464,0.8213,1.3755,1.0006,225,13,692.639,698.847,714.509,668.1,1,1,3,2,4,4,1,1,4,1,1,4,2,1,4,3,3,3,NA,1,2,4,4,4,2,4,NA,NA,NA,NA,NA,NA,0.8934
0.4894,-0.1833,0.7532,1.225,0.7429,-0.7799,-1.2905,-0.5094,NA,NA,-1.7885,1.1477,0.6375,0.8631,0.6524,225,34,565.891,518.276,576.204,552.621,1,2,3,3,3,3,2,1,4,1,1,1,3,1,3,2,2,2,2,1,4,4,4,3,4,4,NA,NA,NA,NA,NA,NA,-0.6873
0.8153,0.5094,1.4157,-0.1933,1.356,0.3895,0.5759,0.3668,NA,NA,2.0781,3.1829,1.4475,2.4994,2.0469,225,26,488.071,456.225,456.801,445.678,1,1,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,4,1,2,3,4,3,3,2,3,NA,NA,NA,NA,NA,NA,0.0039
